container_index,title,text,image_url,all_images,status,link,all_links,advertiser,is_promoted,time_period
1,Promoted,Promoted,https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY,"['https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY', 'https://media.licdn.com/dms/image/v2/D5610AQHw6jZ34bjUMA/videocover-high/B56ZafdY7WHsAw-/0/1746432028883?e=2147483647&v=beta&t=C5FBt8NZBfKqetyv5TIVcouqOZc_Rd_AwR4nocEhGM0']",Active,https://de.linkedin.com/in/agnes-heftberger,"['https://de.linkedin.com/in/agnes-heftberger', '/ad-library/detail/669592794', '/ad-library/detail/669592794', '/ad-library/detail/669592794']",Microsoft,True,last-30-days
2,Promoted,Promoted,https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY,"['https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY', 'https://media.licdn.com/dms/image/v2/D5610AQHw6jZ34bjUMA/videocover-high/B56ZafdY7WHsAw-/0/1746432028883?e=2147483647&v=beta&t=C5FBt8NZBfKqetyv5TIVcouqOZc_Rd_AwR4nocEhGM0']",Active,https://de.linkedin.com/in/agnes-heftberger,"['https://de.linkedin.com/in/agnes-heftberger', '/ad-library/detail/669592794', '/ad-library/detail/669592794', '/ad-library/detail/669592794']",Microsoft,True,last-30-days
3,No title found,Microsoft,No image found,[],Active,No link found,[],Microsoft,,last-30-days
4,Promoted,Promoted,https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY,"['https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY', 'https://media.licdn.com/dms/image/v2/D5610AQGUEwi9rlcrEQ/image-shrink_1280/B56Za1JQLnGkAQ-/0/1746795824597?e=2147483647&v=beta&t=x-EJOIdSHx7KfL8oMS0Z57X9kXgkd9A7_o0uNJ2s7-M']",Active,/ad-library/detail/669587294?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/669587294?trk=ad_library_ad_preview_content_image', '/ad-library/detail/669587294', '/ad-library/detail/669587294']",Microsoft,True,last-30-days
5,Promoted,Promoted,https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY,"['https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY', 'https://media.licdn.com/dms/image/v2/D5610AQGUEwi9rlcrEQ/image-shrink_1280/B56Za1JQLnGkAQ-/0/1746795824597?e=2147483647&v=beta&t=x-EJOIdSHx7KfL8oMS0Z57X9kXgkd9A7_o0uNJ2s7-M']",Active,/ad-library/detail/669587294?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/669587294?trk=ad_library_ad_preview_content_image', '/ad-library/detail/669587294', '/ad-library/detail/669587294']",Microsoft,True,last-30-days
6,No title found,Microsoft,No image found,[],Active,No link found,[],Microsoft,,last-30-days
7,Promoted,Promoted,https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY,"['https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY', 'https://media.licdn.com/dms/image/v2/D5610AQGXhuRutFG6XA/ads-video-thumbnail_720_1280/B56ZaqnfouHgAU-/0/1746619210988?e=2147483647&v=beta&t=QVorl-ymgcj5_XGCYQmB2spakToVc5ut83-Ji2VCevo']",Active,/ad-library/detail/669572934,"['/ad-library/detail/669572934', '/ad-library/detail/669572934', '/ad-library/detail/669572934']",Microsoft,True,last-30-days
8,Promoted,Promoted,https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY,"['https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY', 'https://media.licdn.com/dms/image/v2/D5610AQGXhuRutFG6XA/ads-video-thumbnail_720_1280/B56ZaqnfouHgAU-/0/1746619210988?e=2147483647&v=beta&t=QVorl-ymgcj5_XGCYQmB2spakToVc5ut83-Ji2VCevo']",Active,/ad-library/detail/669572934,"['/ad-library/detail/669572934', '/ad-library/detail/669572934', '/ad-library/detail/669572934']",Microsoft,True,last-30-days
9,No title found,Microsoft,No image found,[],Active,No link found,[],Microsoft,,last-30-days
10,How AI Is Changing Art for Creatives,Promoted,https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY,['https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY'],Active,/ad-library/detail/683727893,"['/ad-library/detail/683727893', '/ad-library/detail/683727893', '/ad-library/detail/683727893']",Microsoft,True,last-30-days
